"date","store","seller","product","unit_price","quantity","client_age","client_gender","payment_mode","total_amount"
2023-07-22,"Paris Centre","Seller_3","Laptop",1034.99,1,25,"F","Card",1034.99
2023-02-04,"Nice Promenade","Seller_16","Earbuds",859.51,1,39,"F","Card",859.51
2023-12-27,"Marseille Vieux-Port","Seller_14","Smartphone",1399.81,1,42,"F","Card",1399.81
2023-08-26,"Nice Promenade","Seller_23","Smartphone",323.08,1,30,"M","Card",323.08
2024-08-15,"Lyon Part-Dieu","Seller_24","Tablet",466.1,2,25,"F","Card",932.2
2023-10-11,"Marseille Vieux-Port","Seller_11","Tablet",819.98,1,16,"M","Check",819.98
2023-10-31,"Paris Centre","Seller_15","Tablet",184.86,1,40,"F","Cash",184.86
2023-08-04,"Marseille Vieux-Port","Seller_20","Smartphone",990.03,1,25,"F","Card",990.03
2024-08-18,"Marseille Vieux-Port","Seller_13","Laptop",1244.01,3,38,"F","Card",3732.03
2024-04-20,"Toulouse Capitole","Seller_7","Laptop",1342.93,3,32,"F","Check",4028.79
2024-03-02,"Paris Centre","Seller_20","Tablet",1241.12,2,43,"M","Card",2482.24
2024-03-17,"Paris Centre","Seller_24","Laptop",384.75,1,19,"F","Card",384.75
2023-10-03,"Nice Promenade","Seller_11","Tablet",664.06,2,29,"F","Card",1328.12
2023-03-28,"Lyon Part-Dieu","Seller_1","Laptop",NA,1,43,"M","Card",NA
2024-05-19,"Nice Promenade","Seller_12","Smartphone",1232.21,2,35,"M","Card",2464.42
2024-11-30,"Paris Centre","Seller_16","Earbuds",164.28,2,27,"M","Card",328.56
2024-09-09,"Marseille Vieux-Port","Seller_17","Laptop",606.42,1,39,"M","Card",606.42
2024-10-08,"Nice Promenade","Seller_19","Laptop",207.67,1,23,"F","Card",207.67
2024-03-16,"Paris Centre","Seller_11","Laptop",890.53,1,26,"F","",890.53
2023-12-02,"Marseille Vieux-Port","Seller_20","Tablet",384.14,1,41,"M","Card",384.14
2023-07-31,"Marseille Vieux-Port","Seller_17","Smartphone",996.42,3,44,"M","Card",2989.26
2023-10-08,"Paris Centre","Seller_25","Earbuds",700.63,1,23,"M","Card",700.63
2023-10-17,"Lyon Part-Dieu","Seller_16","Smartphone",84.75,2,16,"F","Card",169.5
2023-08-05,"Paris Centre","Seller_19","Smartphone",905.81,1,37,"F","Card",905.81
2023-11-06,"Toulouse Capitole","Seller_12","Tablet",971.08,1,30,NA,"Card",971.08
2024-10-04,"Toulouse Capitole","Seller_25","Tablet",436.05,1,55,"M","Card",436.05
2023-06-02,"Lyon Part-Dieu","Seller_3","Smartphone",1374.75,1,27,"F","Cash",1374.75
2024-12-05,"Marseille Vieux-Port","Seller_10","Tablet",86.44,1,18,NA,"Card",86.44
2023-01-06,"Nice Promenade","Seller_4","Tablet",1366.99,1,43,NA,"",1366.99
2024-01-28,"Lyon Part-Dieu","Seller_5","Smartphone",128.93,1,41,"M","Card",128.93
2024-12-19,"Toulouse Capitole","Seller_3","Tablet",1233.78,1,16,NA,"Card",1233.78
2024-12-17,"Marseille Vieux-Port","Seller_18","Tablet",811.13,1,35,"M","Card",811.13
2024-04-08,"Marseille Vieux-Port","Seller_12","Laptop",212.94,1,29,"M","Check",212.94
2024-03-02,"Lyon Part-Dieu","Seller_10","Laptop",1191.68,1,16,"M","Card",1191.68
2023-12-20,"Lyon Part-Dieu","Seller_17","Tablet",1083.46,1,27,"M","Card",1083.46
2023-07-05,"Nice Promenade","Seller_16","Earbuds",880.8,2,40,"M","Card",1761.6
2023-11-01,"Nice Promenade","Seller_8","Laptop",1236.84,1,48,"M","Card",1236.84
2024-09-18,"Lyon Part-Dieu","Seller_12","Earbuds",126.9,1,28,"M","Card",126.9
2023-04-18,"Paris Centre","Seller_15","Earbuds",395.76,1,17,NA,"Card",395.76
2023-09-18,"Paris Centre","Seller_19","Smartphone",637.62,2,33,"F","Cash",1275.24
2024-12-20,"Marseille Vieux-Port","Seller_4","Smartphone",331.72,2,48,"F","",663.44
2023-05-11,"Nice Promenade","Seller_23","Smartphone",269.51,2,26,"M","Card",539.02
2023-06-02,"Toulouse Capitole","Seller_1","Earbuds",1102.13,3,45,"F","Card",3306.39
2024-04-03,"Toulouse Capitole","Seller_1","Laptop",1029.65,2,38,"M","Card",2059.3
2024-12-23,"Marseille Vieux-Port","Seller_19","Tablet",66.84,1,46,"M","Card",66.84
2024-02-18,"Paris Centre","Seller_14","Laptop",1479.78,2,19,"F","Card",2959.56
2023-11-25,"Nice Promenade","Seller_21","Smartphone",1496.02,1,28,"M","Card",1496.02
2023-07-08,"Lyon Part-Dieu","Seller_4","Laptop",1283.92,1,45,"F","Cash",1283.92
2023-09-16,"Nice Promenade","Seller_7","Earbuds",1340.35,2,25,"F","",2680.7
2024-06-24,"Lyon Part-Dieu","Seller_15","Earbuds",647.8,1,23,"F","Cash",647.8
2023-10-03,"Toulouse Capitole","Seller_9","Laptop",1052.64,3,29,NA,"Card",3157.92
2024-03-20,"Paris Centre","Seller_17","Earbuds",1366.79,2,37,"M","Card",2733.58
2023-11-30,"Marseille Vieux-Port","Seller_3","Laptop",1062.1,2,28,"F","Check",2124.2
2024-06-11,"Toulouse Capitole","Seller_9","Laptop",1082.16,1,31,"M","Card",1082.16
2024-07-01,"Lyon Part-Dieu","Seller_20","Tablet",963.76,1,30,"F","Card",963.76
2023-07-28,"Nice Promenade","Seller_19","Laptop",1196.36,1,42,"F","Card",1196.36
2024-08-07,"Lyon Part-Dieu","Seller_17","Tablet",680.17,1,70,"M","Card",680.17
2023-04-28,"Paris Centre","Seller_4","Tablet",319.47,1,48,"F","Cash",319.47
2024-02-06,"Toulouse Capitole","Seller_17","Smartphone",988.6,1,32,"F","Cash",988.6
2024-11-04,"Lyon Part-Dieu","Seller_12","Laptop",263.34,2,31,"M","Card",526.68
2023-05-27,"Lyon Part-Dieu","Seller_17","Smartphone",849.15,1,61,"M","Card",849.15
2024-10-13,"Lyon Part-Dieu","Seller_16","Smartwatch",1050.25,1,54,NA,"Card",1050.25
2023-06-22,"Nice Promenade","Seller_2","Earbuds",966.67,2,38,"F","Card",1933.34
2024-12-02,"Marseille Vieux-Port","Seller_2","Smartphone",1293.51,2,47,"F","",2587.02
2024-03-29,"Toulouse Capitole","Seller_18","Smartphone",687.35,1,46,"M","Card",687.35
2023-03-09,"Paris Centre","Seller_4","Laptop",1398.02,1,58,"F","Cash",1398.02
2024-06-26,"Lyon Part-Dieu","Seller_10","Laptop",413.94,3,23,"M","Card",1241.82
2023-04-23,"Nice Promenade","Seller_9","Laptop",724.05,5,30,"M","Card",3620.25
2024-04-07,"Toulouse Capitole","Seller_11","Earbuds",1320.66,1,32,"M","Card",1320.66
2024-12-17,"Lyon Part-Dieu","Seller_8","Laptop",716.9,2,41,"F","Card",1433.8
2024-04-27,"Nice Promenade","Seller_5","Tablet",1168.7,4,23,"M","Card",4674.8
2024-09-26,"Lyon Part-Dieu","Seller_25","Laptop",1317.69,2,25,NA,"Card",2635.38
2024-05-18,"Toulouse Capitole","Seller_11","Laptop",415.51,1,37,"F","Check",415.51
2023-03-09,"Lyon Part-Dieu","Seller_15","Smartphone",1141.87,1,45,"F","Card",1141.87
2023-04-04,"Paris Centre","Seller_6","Earbuds",1154.72,1,50,"M","Card",1154.72
2024-03-21,"Nice Promenade","Seller_3","Earbuds",571.03,1,39,"F","Card",571.03
2024-03-02,"Paris Centre","Seller_13","Accessories",1093.75,4,42,NA,"",4375
2023-09-27,"Toulouse Capitole","Seller_7","Tablet",953.78,1,44,"M","Card",953.78
2024-12-15,"Marseille Vieux-Port","Seller_3","Tablet",943.9,1,23,"M","Card",943.9
2024-04-01,"Lyon Part-Dieu","Seller_19","Smartphone",1348,1,46,"M","Card",1348
2024-10-22,"Paris Centre","Seller_1","Earbuds",609.91,2,32,"M","Cash",1219.82
2024-12-06,"Marseille Vieux-Port","Seller_21","Tablet",1313.23,1,25,"M","Card",1313.23
2023-09-23,"Paris Centre","Seller_6","Laptop",536.64,1,28,"M","Card",536.64
2023-05-27,"Toulouse Capitole","Seller_19","Smartphone",1245.18,5,27,"M","Check",6225.9
2023-12-12,"Toulouse Capitole","Seller_23","Laptop",752.29,3,30,"F","Cash",2256.87
2023-02-03,"Toulouse Capitole","Seller_17","Earbuds",1114.75,1,46,"F","Card",1114.75
2024-09-16,"Marseille Vieux-Port","Seller_9","Tablet",744.88,2,30,"M","",1489.76
2023-07-06,"Paris Centre","Seller_3","Laptop",1038.86,3,49,"F","Card",3116.58
2024-07-31,"Paris Centre","Seller_16","Earbuds",609.63,2,56,"M","Card",1219.26
2024-02-15,"Paris Centre","Seller_20","Earbuds",1409.35,1,34,"F","Card",1409.35
2024-12-25,"Nice Promenade","Seller_21","Smartphone",803.03,1,36,"M","Card",803.03
2023-04-28,"Nice Promenade","Seller_4","Laptop",768.76,2,33,"F","Card",1537.52
2024-09-02,"Paris Centre","Seller_23","Tablet",1157.31,3,47,"F","Check",3471.93
2023-04-19,"Lyon Part-Dieu","Seller_23","Laptop",77.66,1,35,"M","Card",77.66
2024-07-02,"Paris Centre","Seller_6","Earbuds",1174.12,1,46,"F","Card",1174.12
2024-04-13,"Nice Promenade","Seller_4","Tablet",250.16,1,32,"M","Card",250.16
2024-11-04,"Nice Promenade","Seller_19","Tablet",841.58,2,28,"F","Card",1683.16
2024-01-04,"Lyon Part-Dieu","Seller_18","Tablet",1498.98,1,16,NA,"Card",1498.98
2023-04-29,"Toulouse Capitole","Seller_13","Smartphone",968.91,2,31,"M","Card",1937.82
2024-07-21,"Nice Promenade","Seller_14","Earbuds",1044.71,1,16,"F","Check",1044.71
2024-11-06,"Nice Promenade","Seller_7","Tablet",759.11,1,22,"F","",759.11
2024-07-29,"Toulouse Capitole","Seller_10","Laptop",784.94,1,56,"F","",784.94
2023-03-21,"Toulouse Capitole","Seller_16","Smartphone",938.33,2,37,"M","Card",1876.66
2023-01-31,"Lyon Part-Dieu","Seller_17","Smartphone",267.72,1,37,"F","Card",267.72
2024-02-29,"Marseille Vieux-Port","Seller_12","Tablet",219.58,1,45,"F","Card",219.58
2023-10-05,"Lyon Part-Dieu","Seller_5","Accessories",280.91,1,47,"F","Card",280.91
2024-10-22,"Toulouse Capitole","Seller_14","Laptop",272.4,1,33,"F","Card",272.4
2024-02-06,"Marseille Vieux-Port","Seller_25","Earbuds",299.24,1,31,"M","Card",299.24
2024-10-03,"Lyon Part-Dieu","Seller_12","Laptop",368.26,1,31,"M","Card",368.26
2023-09-26,"Nice Promenade","Seller_21","Accessories",64.19,2,25,"M","Cash",128.38
2024-08-08,"Lyon Part-Dieu","Seller_19","Smartphone",265.95,1,46,NA,"Card",265.95
2023-11-17,"Paris Centre","Seller_16","Tablet",338.34,1,46,"F","Card",338.34
2023-02-20,"Nice Promenade","Seller_13","Tablet",1406.35,3,39,"M","Card",4219.05
2023-09-06,"Nice Promenade","Seller_19","Smartwatch",1100.04,1,30,"F","Cash",1100.04
2023-07-04,"Toulouse Capitole","Seller_12","Smartphone",875.99,1,44,"F","Cash",875.99
2024-10-02,"Nice Promenade","Seller_4","Laptop",1257.32,1,33,"F","Card",1257.32
2023-09-04,"Marseille Vieux-Port","Seller_12","Laptop",941.74,1,31,NA,"Check",941.74
2023-01-16,"Toulouse Capitole","Seller_4","Laptop",1001.09,2,20,"F","Card",2002.18
2024-09-09,"Lyon Part-Dieu","Seller_12","Tablet",729.22,1,29,"M","Card",729.22
2023-05-13,"Marseille Vieux-Port","Seller_10","Smartphone",937.26,1,16,"M","Check",937.26
2024-11-09,"Toulouse Capitole","Seller_20","Smartphone",401.94,2,39,"F","Card",803.88
2024-05-27,"Marseille Vieux-Port","Seller_21","Tablet",968.4,4,16,NA,"Card",3873.6
2024-01-22,"Paris Centre","Seller_21","Smartphone",850.46,3,40,"F","Cash",2551.38
2023-07-25,"Lyon Part-Dieu","Seller_11","Smartphone",692.85,1,37,"M","Check",692.85
2023-01-24,"Nice Promenade","Seller_21","Laptop",1284.18,1,39,"M","Card",1284.18
2024-08-22,"Marseille Vieux-Port","Seller_23","Smartphone",600.65,2,16,"M","Card",1201.3
2024-10-10,"Nice Promenade","Seller_3","Tablet",1074.37,3,16,"F","Card",3223.11
2023-12-14,"Toulouse Capitole","Seller_9","Accessories",1300,1,36,"M","Check",1300
2023-04-29,"Paris Centre","Seller_21","Smartwatch",753.21,2,38,"F","Card",1506.42
2024-06-24,"Paris Centre","Seller_10","Smartphone",361.32,2,24,"M","Card",722.64
2023-03-01,"Marseille Vieux-Port","Seller_9","Smartphone",238.75,1,33,NA,"Cash",238.75
2024-01-23,"Toulouse Capitole","Seller_2","Tablet",1376.93,1,36,"M","Card",1376.93
2024-10-27,"Marseille Vieux-Port","Seller_1","Laptop",704.78,2,34,"M","Check",1409.56
2023-06-21,"Paris Centre","Seller_4","Smartphone",1336.63,4,21,"F","Cash",5346.52
2023-10-19,"Marseille Vieux-Port","Seller_21","Earbuds",1284.27,1,41,"M","Card",1284.27
2023-10-02,"Marseille Vieux-Port","Seller_14","Smartphone",575.79,3,41,"M","Cash",1727.37
2024-10-25,"Paris Centre","Seller_8","Smartphone",257.22,3,36,"M","Cash",771.66
2024-11-05,"Nice Promenade","Seller_23","Smartphone",493.89,1,51,"M","Card",493.89
2024-04-21,"Toulouse Capitole","Seller_17","Smartphone",495.59,2,25,"F","Card",991.18
2023-11-01,"Marseille Vieux-Port","Seller_1","Smartphone",409.01,2,43,"M","Card",818.02
2023-09-27,"Marseille Vieux-Port","Seller_6","Smartphone",1484.3,4,39,"F","Card",5937.2
2024-02-25,"Nice Promenade","Seller_5","Smartphone",771.14,2,37,"M","Cash",1542.28
2023-01-25,"Nice Promenade","Seller_13","Tablet",1284.97,1,28,"M","Cash",1284.97
2024-12-12,"Lyon Part-Dieu","Seller_10","Smartphone",256.31,1,37,NA,"Card",256.31
2023-06-03,"Nice Promenade","Seller_5","Smartphone",1478.27,1,35,"M","Card",1478.27
2024-06-03,"Paris Centre","Seller_19","Earbuds",306.38,1,16,"F","Card",306.38
2023-07-06,"Toulouse Capitole","Seller_23","Smartphone",731.95,3,45,"M","Check",2195.85
2023-11-12,"Nice Promenade","Seller_4","Laptop",1422.56,1,50,"F","Card",1422.56
2024-08-11,"Marseille Vieux-Port","Seller_24","Earbuds",1035,2,16,"F","Card",2070
2023-11-22,"Paris Centre","Seller_5","Smartphone",441.4,1,36,"F","Card",441.4
2023-03-06,"Toulouse Capitole","Seller_19","Laptop",1343.02,2,35,"M","Check",2686.04
2023-12-16,"Lyon Part-Dieu","Seller_23","Earbuds",871.08,3,35,"M","Card",2613.24
2023-11-10,"Marseille Vieux-Port","Seller_21","Earbuds",312.69,1,43,"M","Card",312.69
2024-07-06,"Paris Centre","Seller_4","Earbuds",603.01,3,27,"F","Cash",1809.03
2023-04-13,"Marseille Vieux-Port","Seller_5","Accessories",644.15,1,29,"F","Card",644.15
2023-06-08,"Lyon Part-Dieu","Seller_14","Smartphone",669.01,1,48,"M","Card",669.01
2023-06-02,"Toulouse Capitole","Seller_21","Tablet",883.85,1,43,"M","Card",883.85
2024-11-03,"Toulouse Capitole","Seller_1","Smartphone",1043.59,1,33,"M","Card",1043.59
2023-09-22,"Paris Centre","Seller_2","Earbuds",387.38,2,51,"M","Card",774.76
2023-04-25,"Paris Centre","Seller_2","Tablet",1202.21,1,36,"F","",1202.21
2023-02-28,"Nice Promenade","Seller_4","Tablet",1256.78,5,32,"F","Card",6283.9
2024-07-17,"Toulouse Capitole","Seller_23","Laptop",102.5,1,37,"M","Cash",102.5
2024-05-22,"Toulouse Capitole","Seller_25","Smartphone",392.54,2,61,"F","Card",785.08
2023-08-13,"Toulouse Capitole","Seller_6","Tablet",234.85,1,24,"F","Card",234.85
2023-02-20,"Marseille Vieux-Port","Seller_10","Smartphone",1410.49,1,25,NA,"Card",1410.49
2024-12-09,"Paris Centre","Seller_6","Earbuds",1446.38,1,50,"F","",1446.38
2023-08-12,"Paris Centre","Seller_1","Laptop",1487.37,1,37,"F","Card",1487.37
2024-09-29,"Paris Centre","Seller_19","Laptop",480.46,3,30,NA,"Card",1441.38
2024-02-13,"Lyon Part-Dieu","Seller_3","Laptop",610.18,1,46,"F","Card",610.18
2023-06-24,"Nice Promenade","Seller_5","Laptop",973.31,2,24,"M","Card",1946.62
2024-06-04,"Toulouse Capitole","Seller_16","Tablet",198.56,1,36,NA,"Cash",198.56
2023-10-08,"Lyon Part-Dieu","Seller_9","Smartphone",631.7,1,23,NA,"Card",631.7
2024-04-05,"Toulouse Capitole","Seller_21","Smartwatch",671.91,1,35,"F","Card",671.91
2023-04-05,"Paris Centre","Seller_25","Smartwatch",338.61,1,24,NA,"Cash",338.61
2023-09-01,"Toulouse Capitole","Seller_6","Laptop",1022.37,1,35,"F","Card",1022.37
2023-07-23,"Toulouse Capitole","Seller_21","Earbuds",77.7,2,28,"M","Card",155.4
2023-12-30,"Nice Promenade","Seller_21","Smartphone",869.86,1,61,NA,"Card",869.86
2024-10-30,"Paris Centre","Seller_8","Laptop",224.89,1,23,NA,"Check",224.89
2023-07-06,"Marseille Vieux-Port","Seller_6","Smartphone",1070.82,2,36,"M","Check",2141.64
2024-09-10,"Lyon Part-Dieu","Seller_20","Laptop",670.13,1,40,"F","Check",670.13
2024-04-11,"Toulouse Capitole","Seller_5","Smartphone",693.64,1,18,"M","Card",693.64
2023-09-02,"Toulouse Capitole","Seller_12","Tablet",388.87,2,16,"M","Card",777.74
2024-02-18,"Marseille Vieux-Port","Seller_7","Smartphone",533.94,1,24,NA,"Check",533.94
2024-09-25,"Nice Promenade","Seller_6","Earbuds",301.26,3,29,"F","",903.78
2023-05-19,"Marseille Vieux-Port","Seller_17","Laptop",1016.27,2,39,"M","Card",2032.54
2024-10-01,"Marseille Vieux-Port","Seller_5","Earbuds",1328.17,4,45,"F","Card",5312.68
2023-12-20,"Lyon Part-Dieu","Seller_13","Smartphone",1072.77,1,40,"F","Card",1072.77
2024-02-13,"Toulouse Capitole","Seller_16","Laptop",870.06,3,46,NA,"Card",2610.18
2023-05-24,"Paris Centre","Seller_16","Smartphone",491.56,1,25,"F","Card",491.56
2024-09-04,"Toulouse Capitole","Seller_17","Tablet",1379.09,1,32,"F","Card",1379.09
2024-04-12,"Toulouse Capitole","Seller_21","Smartphone",1395.66,2,27,"M","Card",2791.32
2023-05-15,"Paris Centre","Seller_21","Tablet",766.28,1,54,"F","Card",766.28
2023-12-28,"Paris Centre","Seller_13","Laptop",744.08,1,45,"M","Cash",744.08
2023-05-02,"Lyon Part-Dieu","Seller_5","Smartwatch",1245.69,1,48,"M","",1245.69
2024-06-18,"Lyon Part-Dieu","Seller_11","Tablet",155.89,1,32,NA,"Card",155.89
2024-06-14,"Paris Centre","Seller_8","Earbuds",262.51,3,16,"F","Cash",787.53
2023-09-27,"Marseille Vieux-Port","Seller_4","Tablet",203.26,2,27,"M","Check",406.52
2024-09-11,"Paris Centre","Seller_17","Smartphone",1096.74,2,25,"M","Check",2193.48
2023-03-31,"Lyon Part-Dieu","Seller_24","Tablet",535.43,1,41,NA,"Card",535.43
2023-06-25,"Marseille Vieux-Port","Seller_16","Smartphone",583.24,4,59,"F","Card",2332.96
2024-01-20,"Nice Promenade","Seller_8","Smartwatch",210.77,4,39,"M","Card",843.08
2024-04-22,"Lyon Part-Dieu","Seller_7","Tablet",186.93,4,16,NA,"Check",747.72
2023-06-27,"Paris Centre","Seller_17","Smartphone",436.22,1,19,"F","Card",436.22
2024-05-03,"Nice Promenade","Seller_23","Smartphone",1412.75,3,45,NA,"Cash",4238.25
2023-06-28,"Lyon Part-Dieu","Seller_22","Smartphone",1221.24,2,19,"F","Card",2442.48
2024-09-01,"Nice Promenade","Seller_13","Smartphone",93.51,1,31,"F","Card",93.51
2023-04-14,"Toulouse Capitole","Seller_17","Smartphone",1302.59,1,36,"M","Card",1302.59
2024-05-01,"Nice Promenade","Seller_25","Tablet",799.28,3,25,"M","Card",2397.84
2023-09-20,"Marseille Vieux-Port","Seller_14","Tablet",1183.76,2,42,"F","Card",2367.52
2024-08-21,"Paris Centre","Seller_22","Laptop",848.96,1,19,"F","Check",848.96
2023-11-17,"Lyon Part-Dieu","Seller_25","Earbuds",1216.49,1,16,"F","Card",1216.49
2023-08-30,"Paris Centre","Seller_15","Laptop",492.47,3,39,NA,"Card",1477.41
2024-06-26,"Lyon Part-Dieu","Seller_2","Smartphone",310.26,1,16,"F","Check",310.26
2024-01-01,"Toulouse Capitole","Seller_8","Tablet",1459.28,1,35,"F","Card",1459.28
2023-03-12,"Lyon Part-Dieu","Seller_10","Smartphone",1269.39,1,41,"F","",1269.39
2024-01-19,"Paris Centre","Seller_25","Smartphone",1078.83,1,39,NA,"Card",1078.83
2023-12-06,"Toulouse Capitole","Seller_16","Accessories",477.41,1,55,"M","Card",477.41
2024-08-13,"Toulouse Capitole","Seller_6","Smartphone",259.34,3,35,"F","Card",778.02
2023-10-18,"Nice Promenade","Seller_23","Laptop",400.78,1,22,"M","Card",400.78
2023-08-08,"Nice Promenade","Seller_14","Smartphone",874.38,1,22,"F","Card",874.38
2024-08-16,"Marseille Vieux-Port","Seller_24","Tablet",596.14,2,16,NA,"Card",1192.28
2024-06-10,"Nice Promenade","Seller_1","Earbuds",1208.99,2,36,"F","Card",2417.98
2023-08-16,"Lyon Part-Dieu","Seller_12","Earbuds",146.82,1,37,"F","Card",146.82
2024-08-15,"Nice Promenade","Seller_13","Earbuds",502.48,1,25,"M","Card",502.48
2024-05-14,"Toulouse Capitole","Seller_9","Tablet",447.09,1,30,"M","Card",447.09
2023-08-07,"Lyon Part-Dieu","Seller_20","Laptop",1104.79,3,34,NA,"Card",3314.37
2024-12-20,"Toulouse Capitole","Seller_5","Smartphone",1359.89,1,24,NA,"Card",1359.89
2024-02-23,"Toulouse Capitole","Seller_22","Laptop",1254.4,1,23,"M","Card",1254.4
2023-04-14,"Paris Centre","Seller_21","Smartphone",886.48,2,42,"F","Card",1772.96
2023-11-17,"Toulouse Capitole","Seller_22","Tablet",818.97,2,63,"F","Card",1637.94
2024-09-02,"Toulouse Capitole","Seller_22","Smartphone",935.7,2,34,"F","",1871.4
2024-11-02,"Toulouse Capitole","Seller_10","Laptop",1309.09,2,30,"M","Card",2618.18
2023-11-02,"Nice Promenade","Seller_14","Laptop",390.26,1,42,"M","",390.26
2023-09-25,"Toulouse Capitole","Seller_16","Smartphone",531.66,1,16,"M","Card",531.66
2024-03-24,"Toulouse Capitole","Seller_25","Laptop",1494.99,1,51,"M","Card",1494.99
2023-07-23,"Marseille Vieux-Port","Seller_3","Laptop",1195.44,3,31,"F","Card",3586.32
2023-03-18,"Paris Centre","Seller_22","Accessories",1125.12,2,32,"M","",2250.24
2023-05-30,"Paris Centre","Seller_20","Laptop",953.42,1,46,"M","Card",953.42
2024-09-06,"Toulouse Capitole","Seller_19","Smartphone",328.06,1,34,"F","Card",328.06
2023-08-10,"Lyon Part-Dieu","Seller_5","Tablet",728.7,4,23,"F","Card",2914.8
2023-10-16,"Paris Centre","Seller_13","Smartphone",511.57,5,23,"F","Card",2557.85
2024-07-31,"Toulouse Capitole","Seller_10","Laptop",544.86,1,32,"F","Card",544.86
2024-03-10,"Paris Centre","Seller_10","Accessories",512.98,2,33,"F","Cash",1025.96
2024-03-12,"Paris Centre","Seller_16","Accessories",1065.1,1,44,"M","",1065.1
2024-03-17,"Nice Promenade","Seller_3","Accessories",868.07,2,63,"M","Card",1736.14
2024-08-13,"Nice Promenade","Seller_18","Smartwatch",1441.75,3,70,"F","Card",4325.25
2023-09-12,"Lyon Part-Dieu","Seller_1","Earbuds",1291.28,1,16,"F","Card",1291.28
2023-07-21,"Lyon Part-Dieu","Seller_4","Laptop",1456.98,1,16,"F","",1456.98
2023-03-19,"Paris Centre","Seller_12","Laptop",1476.77,1,21,"F","Card",1476.77
2024-10-16,"Lyon Part-Dieu","Seller_14","Earbuds",833.1,1,16,"F","Card",833.1
2023-03-11,"Marseille Vieux-Port","Seller_20","Smartwatch",1141.52,1,39,"M","Card",1141.52
2024-07-06,"Toulouse Capitole","Seller_25","Tablet",984.24,3,38,"M","Card",2952.72
2024-02-06,"Toulouse Capitole","Seller_7","Accessories",1183.66,4,44,"F","Card",4734.64
2024-10-19,"Paris Centre","Seller_18","Tablet",1077.11,1,39,"F","Card",1077.11
2023-04-03,"Lyon Part-Dieu","Seller_9","Laptop",665.82,1,33,"M","Card",665.82
2023-11-06,"Nice Promenade","Seller_17","Smartphone",910.06,1,34,"F","Card",910.06
2024-07-10,"Paris Centre","Seller_18","Laptop",987.03,2,44,"F","",1974.06
2024-04-25,"Nice Promenade","Seller_19","Laptop",456.42,1,39,"M","Card",456.42
2024-02-06,"Lyon Part-Dieu","Seller_11","Smartphone",296.32,1,47,"M","",296.32
2024-05-09,"Paris Centre","Seller_7","Smartphone",528.48,1,41,"M","Cash",528.48
2024-04-27,"Paris Centre","Seller_7","Tablet",840.23,1,46,"M","Card",840.23
2024-11-15,"Paris Centre","Seller_14","Tablet",1473.06,1,16,"F","Card",1473.06
2023-08-04,"Paris Centre","Seller_20","Tablet",789.49,1,32,"F","Card",789.49
2023-04-06,"Nice Promenade","Seller_10","Tablet",1308.67,1,44,"F","Card",1308.67
2023-08-23,"Nice Promenade","Seller_1","Earbuds",80.11,2,30,"F","",160.22
2024-02-16,"Paris Centre","Seller_14","Laptop",1425.56,2,43,NA,"Card",2851.12
2023-10-31,"Nice Promenade","Seller_3","Laptop",284.86,1,21,"M","Card",284.86
2024-05-05,"Lyon Part-Dieu","Seller_14","Tablet",947.1,1,19,"M","Card",947.1
